tfidf,bm25,embedding,section_aware,P@5_v1,P@5_v2,R@5_v1,R@5_v2,nDCG@5_v1,nDCG@5_v2,MAP_v1,MAP_v2,MRR_v1,MRR_v2
0.0,0.15,0.6,0.15,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7689366597654438,0.8463072212123521,0.2624444444444445,0.22139550264550265,0.8222222222222222,0.8400000000000001
0.0,0.15,0.65,0.1,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7689366597654438,0.8463072212123521,0.2624444444444445,0.22139550264550265,0.8222222222222222,0.8400000000000001
0.0,0.15,0.7,0.05,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7689366597654438,0.8463072212123521,0.26371428571428573,0.22351190476190474,0.8285714285714285,0.8400000000000001
0.0,0.15,0.75,0.0,0.27999999999999997,0.27999999999999997,0.27999999999999997,0.2235714285714286,0.7689366597654438,0.7689366597654438,0.2646666666666667,0.22240079365079363,0.8333333333333333,0.8333333333333333
0.0,0.2,0.0,0.7,0.36000000000000004,0.4,0.36000000000000004,0.3219047619047619,0.7893804859051949,0.9155664366194864,0.34400000000000003,0.3215297619047619,0.8,0.9
0.0,0.2,0.05,0.65,0.36000000000000004,0.4,0.36000000000000004,0.3219047619047619,0.7859589022965324,0.9121448530108239,0.344,0.30557738095238096,0.8,0.9
0.0,0.2,0.1,0.6,0.36000000000000004,0.4,0.36000000000000004,0.3219047619047619,0.773670392705635,0.8736703927056351,0.33555555555555555,0.29399007936507937,0.82,0.8666666666666668
0.0,0.2,0.15,0.55,0.32,0.36,0.32,0.2969047619047619,0.7705855730121314,0.8705855730121315,0.32085714285714284,0.2806666666666667,0.82,0.8666666666666668
0.0,0.2,0.2,0.5,0.32,0.36,0.32,0.2969047619047619,0.7705855730121314,0.8705855730121315,0.32019047619047614,0.27922486772486776,0.8222222222222222,0.8666666666666668
0.0,0.2,0.25,0.45,0.32,0.36,0.32,0.2969047619047619,0.7705855730121314,0.8567208846268098,0.3247777777777777,0.2849920634920635,0.825,0.85
0.0,0.2,0.3,0.4,0.32,0.36,0.32,0.2969047619047619,0.7705855730121314,0.8567208846268098,0.30700000000000005,0.2724920634920635,0.825,0.85
0.0,0.2,0.35,0.35,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7754430630676099,0.8615783746822885,0.3038888888888889,0.25849206349206344,0.825,0.85
0.0,0.2,0.4,0.3,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7754430630676099,0.8615783746822885,0.3038888888888889,0.25849206349206344,0.825,0.85
0.0,0.2,0.45,0.25,0.27999999999999997,0.27999999999999997,0.27999999999999997,0.2235714285714286,0.7754430630676099,0.7754430630676099,0.29888888888888887,0.2507142857142857,0.825,0.8333333333333333
0.0,0.2,0.5,0.2,0.27999999999999997,0.27999999999999997,0.27999999999999997,0.2235714285714286,0.7689366597654438,0.7689366597654438,0.2772222222222222,0.2318452380952381,0.825,0.8333333333333333
0.0,0.2,0.55,0.15,0.27999999999999997,0.27999999999999997,0.27999999999999997,0.2235714285714286,0.7689366597654438,0.7689366597654438,0.2772222222222222,0.2318452380952381,0.825,0.8333333333333333
0.0,0.2,0.6,0.1,0.27999999999999997,0.27999999999999997,0.27999999999999997,0.2235714285714286,0.7689366597654438,0.7689366597654438,0.2772222222222222,0.2318452380952381,0.825,0.8333333333333333
0.0,0.2,0.65,0.05,0.27999999999999997,0.27999999999999997,0.27999999999999997,0.2235714285714286,0.7689366597654438,0.7689366597654438,0.2779365079365079,0.2330357142857143,0.8285714285714285,0.8333333333333333
0.0,0.2,0.7,0.0,0.27999999999999997,0.27999999999999997,0.27999999999999997,0.2235714285714286,0.7689366597654438,0.7689366597654438,0.27999999999999997,0.23442460317460317,0.8333333333333333,0.8333333333333333
